file,pooling,split,seed,balanced,module,key,rows,cols,min_dim,effective_rank,rank_fraction,stable_rank,sigma_max
attention_species_s0.pt,attention,species,0,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.2179
attention_species_s0.pt,attention,species,0,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.4661
attention_species_s0.pt,attention,species,0,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.6804
attention_species_s0.pt,attention,species,0,0,head,heads.oxygen_tolerance.weight,6,256,6,3.8424,0.6404,1.7776,2.6063
attention_species_s0.pt,attention,species,0,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.175
attention_species_s0.pt,attention,species,0,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.2827
attention_species_s0.pt,attention,species,0,0,head,heads.halophily.weight,4,256,4,3.4414,0.8604,2.0069,1.1882
attention_species_s0.pt,attention,species,0,0,head,heads.temperature_class.weight,5,256,5,3.9189,0.7838,2.1475,2.0484
attention_species_s0.pt,attention,species,0,0,head,heads.ph_class.weight,3,256,3,2.5089,0.8363,1.5994,1.0519
attention_species_s0.pt,attention,species,0,0,head,heads.cultivation_medium.weight,200,256,200,8.6223,0.0431,1.681,24.424
attention_species_s0.pt,attention,species,0,0,head,heads.carbon_utilization.weight,80,256,80,35.5775,0.4447,6.2876,3.312
attention_species_s0.pt,attention,species,0,0,head,heads.metabolite_production.weight,50,256,50,21.7219,0.4344,3.2154,3.5964
attention_species_s0.pt,attention,species,0,0,head,heads.amr_phenotype.weight,30,256,30,18.535,0.6178,4.6683,2.6726
attention_species_s0.pt,attention,species,0,0,head,heads.biosafety_level.weight,4,256,4,2.7846,0.6962,1.6023,2.4986
attention_species_s0.pt,attention,species,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.2958
attention_species_s0.pt,attention,species,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.3619
attention_species_s0.pt,attention,species,0,0,head,heads.isolation_source.weight,20,256,20,9.0234,0.4512,2.3661,4.7161
attention_species_s0.pt,attention,species,0,0,head,heads.country.weight,100,256,100,16.2904,0.1629,2.2689,11.9434
attention_species_s0.pt,attention,species,0,0,head,heads.fatty_acid_profile.weight,30,256,30,24.5275,0.8176,12.1291,0.4631
attention_species_s1.pt,attention,species,1,0,pool,pool.score.0.weight,640,640,640,6.985,0.0109,1.3746,29.6386
attention_species_s1.pt,attention,species,1,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.1515
attention_species_s1.pt,attention,species,1,0,encoder,encoder.0.weight,512,640,512,36.1021,0.0705,7.5459,14.0056
attention_species_s1.pt,attention,species,1,0,encoder,encoder.3.weight,256,512,256,61.2799,0.2394,9.8396,5.8465
attention_species_s1.pt,attention,species,1,0,head,heads.gram_stain.weight,3,256,3,2.4889,0.8296,1.7213,1.6015
attention_species_s1.pt,attention,species,1,0,head,heads.cell_shape.weight,7,256,7,5.7457,0.8208,2.8819,1.9819
attention_species_s1.pt,attention,species,1,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.1872
attention_species_s1.pt,attention,species,1,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.3816
attention_species_s1.pt,attention,species,1,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7122
attention_species_s1.pt,attention,species,1,0,head,heads.oxygen_tolerance.weight,6,256,6,3.6805,0.6134,1.7251,2.7967
attention_species_s1.pt,attention,species,1,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.1645
attention_species_s1.pt,attention,species,1,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3112
attention_species_s1.pt,attention,species,1,0,head,heads.halophily.weight,4,256,4,3.4129,0.8532,2.0038,1.2047
attention_species_s1.pt,attention,species,1,0,head,heads.temperature_class.weight,5,256,5,4.1915,0.8383,2.4828,2.0007
attention_species_s1.pt,attention,species,1,0,head,heads.ph_class.weight,3,256,3,2.5756,0.8585,1.6601,1.0437
attention_species_s1.pt,attention,species,1,0,head,heads.cultivation_medium.weight,200,256,200,9.2666,0.0463,1.7399,24.0362
attention_species_s1.pt,attention,species,1,0,head,heads.carbon_utilization.weight,80,256,80,33.9977,0.425,5.9688,3.5571
attention_species_s1.pt,attention,species,1,0,head,heads.metabolite_production.weight,50,256,50,21.8074,0.4361,3.2936,3.6165
attention_species_s1.pt,attention,species,1,0,head,heads.amr_phenotype.weight,30,256,30,18.1058,0.6035,4.4461,2.809
attention_species_s1.pt,attention,species,1,0,head,heads.biosafety_level.weight,4,256,4,2.9081,0.727,1.7007,2.5373
attention_species_s1.pt,attention,species,1,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.3387
attention_species_s1.pt,attention,species,1,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.5397
attention_species_s1.pt,attention,species,1,0,head,heads.isolation_source.weight,20,256,20,8.3418,0.4171,2.1627,5.0554
attention_species_s1.pt,attention,species,1,0,head,heads.country.weight,100,256,100,12.1478,0.1215,1.9501,14.4073
attention_species_s1.pt,attention,species,1,0,head,heads.fatty_acid_profile.weight,30,256,30,25.7531,0.8584,13.2456,0.4943
attention_species_s2.pt,attention,species,2,0,pool,pool.score.0.weight,640,640,640,7.6085,0.0119,1.3764,27.6997
attention_species_s2.pt,attention,species,2,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.1358
attention_species_s2.pt,attention,species,2,0,encoder,encoder.0.weight,512,640,512,36.9208,0.0721,8.394,13.3173
attention_species_s2.pt,attention,species,2,0,encoder,encoder.3.weight,256,512,256,61.9177,0.2419,10.0306,5.9079
attention_species_s2.pt,attention,species,2,0,head,heads.gram_stain.weight,3,256,3,2.3199,0.7733,1.5373,1.6402
