target,group,model,rank,status,n_train,n_test,train_pos_rate,test_pos_rate,acc,macro_f1,precision,recall,auroc,auprc
sporulation,binary_trait,sgd_logistic,25,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8442521631644005,0.7986512752441453,0.680365296803653,0.7268292682926829,0.8807866257470522,0.7276882232699332
sporulation,binary_trait,regularized_rf,6,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7911001236093943,0.7402306974693957,0.573170731707317,0.6878048780487804,0.8533193345178486,0.6611473280591187
sporulation,binary_trait,regularized_rf,10,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8182941903584673,0.7668546760220436,0.6294642857142857,0.6878048780487804,0.8788806331771927,0.7256372121120929
sporulation,binary_trait,regularized_rf,25,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8504326328800988,0.798057503347176,0.71875,0.6731707317073171,0.8986351154902278,0.786453156818917
sporulation,binary_trait,hist_gd,6,ok,2473,809,0.40962393853619083,0.25339925834363414,0.799752781211372,0.7492730222378672,0.5892116182572614,0.6926829268292682,0.8728799870780165,0.7041241176978993
sporulation,binary_trait,hist_gd,10,ok,2473,809,0.40962393853619083,0.25339925834363414,0.826946847960445,0.7795880557977333,0.6419213973799127,0.7170731707317073,0.8962445485382006,0.7565850772806894
sporulation,binary_trait,hist_gd,25,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8529048207663782,0.8033861266836178,0.7171717171717171,0.6926829268292682,0.9094411242125666,0.8083015473641018
sporulation,binary_trait,poly2_logistic,6,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7849196538936959,0.7549304307859441,0.5482866043613707,0.8585365853658536,0.8775965110644484,0.6785205503497233
sporulation,binary_trait,poly2_logistic,10,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8145859085290482,0.7804494138080764,0.5964912280701754,0.8292682926829268,0.8985139718946857,0.6942460693542356
sporulation,binary_trait,poly2_logistic,25,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8726823238566132,0.8325640742266384,0.7451923076923077,0.7560975609756098,0.8981424648683572,0.7257382428667016
sporulation,binary_trait,soft_vote_ensemble,fixed,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8838071693448702,0.8483931419457735,0.7605633802816901,0.7902439024390244,0.9363511549022775,0.8607226829895372
catalase,binary_trait,chance,full,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8176144244105409,0.44982830980541777,0.8176144244105409,1.0,0.5,0.8176144244105409
catalase,binary_trait,logistic_l2,6,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7128987517337032,0.6203380776128515,0.8923076923076924,0.7379134860050891,0.750539382153465,0.9227543371534436
