pooling,split,balanced_families,trait,metric,mean,std,ci95,lo,hi,n
attention,family,True,motility,acc,0.6205864747365316,0.04036282727525211,0.10027491399584892,0.5203115607406827,0.7208613887323805,3
attention,family,True,oxygen_tolerance,acc,0.6635816693305969,0.017059067710721455,0.0423804937121138,0.6212011756184831,0.7059621630427108,3
attention,family,True,pathogenicity_animal,acc,0.8998463948567709,0.011384775313869265,0.028283632305417434,0.8715627625513535,0.9281300271621883,3
attention,family,True,pathogenicity_human,acc,0.8722943862279257,0.004309643041131485,0.010706610871316103,0.8615877753566096,0.8830009970992417,3
attention,family,True,ph_class,acc,0.5644257863362631,0.00798686300266629,0.019842068922164904,0.5445837174140982,0.584267855258428,3
attention,family,True,pigmentation,acc,0.7145998279253641,0.029744396996677514,0.07389514194237265,0.6407046859829915,0.7884949698677368,3
attention,family,True,sporulation,acc,0.8903996745745341,0.0037763487391939193,0.00938172746073169,0.8810179471138023,0.8997814020352658,3
attention,family,True,temperature_class,acc,0.8281034231185913,0.013515254263216057,0.033576462561307426,0.7945269605572839,0.8616798856798987,3
attention,genus,False,amr_phenotype,f1,0.40624368372566044,0.005445418927267258,0.013528262301335074,0.39271542142432536,0.4197719460269955,3
attention,genus,False,biosafety_level,acc,0.8619566559791565,0.0011480777041514244,0.0028522133065470865,0.8591044426726094,0.8648088692857036,3
attention,genus,False,carbon_utilization,f1,0.5720295713203888,0.003992467979178984,0.009918640746180304,0.5621109305742085,0.5819482120665691,3
attention,genus,False,catalase,acc,0.8980866074562073,0.002724603575058359,0.006768836764050814,0.8913177706921565,0.9048554442202581,3
attention,genus,False,cell_shape,acc,0.6083950599034628,0.011031270035265783,0.02740540563493895,0.5809896542685238,0.6358004655384017,3
attention,genus,False,country,acc,0.03432588962217172,0.004401116222953515,0.010933861191953448,0.023392028430218273,0.04525975081412517,3
attention,genus,False,cultivation_medium,f1,0.40578875586033103,0.003946385255154585,0.00980415567414289,0.39598460018618814,0.4155929115344739,3
attention,genus,False,cytochrome_oxidase,acc,0.8263358871142069,0.010237554532575983,0.025433547885068415,0.8009023392291384,0.8517694349992754,3
attention,genus,False,fatty_acid_profile,rmse,0.08754428666471022,0.0010270119987826885,0.002551445148981966,0.08499284151572825,0.09009573181369218,3
attention,genus,False,gram_stain,acc,0.9335517088572184,0.002144411577991787,0.005327443617575127,0.9282242652396433,0.9388791524747935,3
attention,genus,False,halophily,acc,0.5176271994908651,0.006468876748512909,0.016070877671262612,0.5015563218196025,0.5336980771621277,3
attention,genus,False,isolation_source,acc,0.3956194420655568,0.005927614721241452,0.014726199736197789,0.38089324232935906,0.4103456418017546,3
attention,genus,False,metabolite_production,f1,0.1220408220188592,0.0026743420531153447,0.0066439701446793205,0.11539685187417988,0.1286847921635385,3
attention,genus,False,motility,acc,0.7359769543011984,0.004077671231681384,0.010130314441845407,0.7258466398593529,0.7461072687430438,3
attention,genus,False,oxygen_tolerance,acc,0.6364538868268331,0.0002456726772633039,0.0006103340188662212,0.6358435528079669,0.6370642208456994,3
attention,genus,False,pathogenicity_animal,acc,0.8813977638880411,0.004056233384443936,0.010077055578849223,0.871320708309192,0.8914748194668903,3
attention,genus,False,pathogenicity_human,acc,0.8624169826507568,0.0004600297450141261,0.0011428694725036622,0.8612741131782532,0.8635598521232605,3
attention,genus,False,ph_class,acc,0.5945699214935303,0.005740245914417316,0.014260712250356704,0.5803092092431735,0.608830633743887,3
attention,genus,False,pigmentation,acc,0.7218638062477112,0.004476720665828871,0.011121688198107667,0.7107421180496035,0.7329854944458188,3
attention,genus,False,sporulation,acc,0.9203268686930338,0.0027025227048727684,0.006713980414575733,0.9136128882784581,0.9270408491076095,3
attention,genus,False,temperature_class,acc,0.8357046842575073,0.006151117245559245,0.015281455597017116,0.8204232286604902,0.8509861398545244,3
attention,species,False,amr_phenotype,f1,0.4087033851124416,0.012128492164005229,0.030131276492383806,0.3785721086200578,0.43883466160482537,3
attention,species,False,biosafety_level,acc,0.8518737554550171,0.004145536545574231,0.010298914834169236,0.8415748406208479,0.8621726702891863,3
attention,species,False,carbon_utilization,f1,0.5838006949598176,0.0003435874421383892,0.0008535874104043543,0.5829471075494133,0.5846542823702219,3
attention,species,False,catalase,acc,0.9103478988011678,0.0015450984082427625,0.0038385470112164816,0.9065093517899514,0.9141864458123843,3
attention,species,False,cell_shape,acc,0.6139160990715027,0.003620577860265252,0.008994739914465151,0.6049213591570375,0.6229108389859679,3
attention,species,False,country,acc,0.040715557833512626,0.003402597069167386,0.008453201906460258,0.03226235592705237,0.04916875973997288,3
attention,species,False,cultivation_medium,f1,0.4527237409128171,0.002445099849887295,0.006074454980239741,0.44664928593257736,0.4587981958930568,3
attention,species,False,cytochrome_oxidase,acc,0.8308270573616028,0.0016278610905257499,0.004044157505035401,0.8267828998565674,0.8348712148666382,3
attention,species,False,fatty_acid_profile,rmse,0.08656749672853313,0.0003990392666250703,0.000991348496697835,0.08557614823183529,0.08755884522523097,3
attention,species,False,gram_stain,acc,0.9278886715571085,0.0026755338260400063,0.006646930911691703,0.9212417406454169,0.9345356024688002,3
attention,species,False,halophily,acc,0.5527654687563578,0.007974764275339104,0.019812011591593896,0.5329534571647639,0.5725774803479516,3
attention,species,False,isolation_source,acc,0.36593592166900635,0.006745368242263794,0.016757776053464228,0.3491781456155421,0.3826936977224706,3
attention,species,False,metabolite_production,f1,0.16459156607042405,0.003046150175453862,0.007567667269169717,0.15702389880125434,0.17215923333959376,3
attention,species,False,motility,acc,0.7820961276690165,0.0044199054306224075,0.010980539938469392,0.7711155877305471,0.7930766676074859,3
