trait,curve,k_families,seed,n_train,f1,auroc
motility,natural,10,4,100,0.5350059826904401,0.587781387255008
motility,natural,20,0,440,0.509146242316188,0.5321870238091558
motility,natural,20,1,356,0.5218652743531675,0.5325378402687841
motility,natural,20,2,416,0.5387853238936053,0.5392790799026986
motility,natural,20,3,980,0.5414790935273976,0.557649807900943
motility,natural,20,4,282,0.5232137177066307,0.5360506412059431
motility,natural,40,0,1203,0.5217832176045127,0.5447746892878889
motility,natural,40,1,1114,0.556635980002509,0.5992949670974342
motility,natural,40,2,1135,0.562191988335653,0.5817448714342675
motility,natural,40,3,2071,0.5861869783467384,0.6302749968318337
motility,natural,40,4,1269,0.5405649528444212,0.5566189947794802
motility,natural,80,0,2628,0.613888268222123,0.6532990656227687
motility,natural,80,1,2080,0.6019717940666303,0.6300169071897284
motility,natural,80,2,1628,0.5981222054874867,0.6523887973640857
motility,natural,80,3,2369,0.6133045923536589,0.6813102917494769
motility,natural,80,4,2424,0.5837119835211437,0.6395863147580911
motility,natural,175,0,5196,0.6364310269107871,0.6959935833042274
motility,natural,175,1,5196,0.6364310269107871,0.6959935833042274
motility,natural,175,2,5196,0.6364310269107871,0.6959935833042274
motility,natural,175,3,5196,0.6364310269107871,0.6959935833042274
motility,natural,175,4,5196,0.6364310269107871,0.6959935833042274
pathogenicity_human,size_controlled,5,1,9,0.48773513966334997,0.6655897573962728
pathogenicity_human,size_controlled,5,2,9,0.48626827260590844,0.6335517066020522
pathogenicity_human,size_controlled,5,3,9,0.5345935311469404,0.7319916838673008
pathogenicity_human,size_controlled,5,4,9,0.3583411333061159,0.5864930150468156
pathogenicity_human,size_controlled,10,2,9,0.48033970397497516,0.4029846839570433
pathogenicity_human,size_controlled,10,3,9,0.5178954556375638,0.6588927278710103
pathogenicity_human,size_controlled,20,1,9,0.40598995121000186,0.3318264082084418
pathogenicity_human,size_controlled,20,2,9,0.42348053191534835,0.4593541535792276
pathogenicity_human,size_controlled,20,3,9,0.5327726421409247,0.6347183583116456
pathogenicity_human,size_controlled,20,4,9,0.48050072219547424,0.5426388764246612
pathogenicity_human,size_controlled,40,1,9,0.4552836025783861,0.43216967303837983
pathogenicity_human,size_controlled,40,2,9,0.5231458715881859,0.6488116605342666
pathogenicity_human,size_controlled,40,3,9,0.4867513911888664,0.3262848125878728
pathogenicity_human,size_controlled,80,2,9,0.5015449890705778,0.7239559962906459
pathogenicity_human,size_controlled,80,3,9,0.48348492101483964,0.5499304496096203
pathogenicity_human,size_controlled,80,4,9,0.44845573127661936,0.3532860689820216
pathogenicity_human,size_controlled,195,0,9,0.5030276140373117,0.6828913518202757
pathogenicity_human,size_controlled,195,1,9,0.4761516768550103,0.3317142301594424
pathogenicity_human,size_controlled,195,2,9,0.46819239438249916,0.5400587812976756
pathogenicity_human,size_controlled,195,3,9,0.5514346685780377,0.7027206916150648
pathogenicity_human,size_controlled,195,4,9,0.4043930751027525,0.425360465464118
pathogenicity_animal,size_controlled,5,0,32,0.4221289619604137,0.36855732177263967
pathogenicity_animal,size_controlled,5,1,32,0.5581705473202613,0.7715157353885678
pathogenicity_animal,size_controlled,5,3,32,0.5124053302655546,0.738233582209377
pathogenicity_animal,size_controlled,5,4,32,0.4816229116945107,0.40654604206807965
pathogenicity_animal,size_controlled,10,1,32,0.388315838792045,0.7054682482337828
pathogenicity_animal,size_controlled,10,4,32,0.5402073113916837,0.8336042870905587
pathogenicity_animal,size_controlled,20,0,32,0.6420109027217444,0.843529222864483
pathogenicity_animal,size_controlled,20,1,32,0.474329969589511,0.7500250883108541
pathogenicity_animal,size_controlled,20,2,32,0.42577046502698035,0.8079690510597304
pathogenicity_animal,size_controlled,20,3,32,0.42659107689405396,0.8317577874116892
pathogenicity_animal,size_controlled,40,0,32,0.5196584408917572,0.5938403179190752
pathogenicity_animal,size_controlled,40,1,32,0.4701383670659122,0.47714454881181756
pathogenicity_animal,size_controlled,40,3,32,0.48858017424064043,0.5775479688503533
pathogenicity_animal,size_controlled,40,4,32,0.6139143721248628,0.838657072896596
pathogenicity_animal,size_controlled,80,0,32,0.5409310862673118,0.7168733943481052
pathogenicity_animal,size_controlled,80,1,32,0.5749276440916232,0.7918874438021837
pathogenicity_animal,size_controlled,80,2,32,0.5248687482730036,0.6729437620423891
pathogenicity_animal,size_controlled,80,3,32,0.5173395511813053,0.6680816473988439
